distance,altitude
1372.0,527.0
1375.4,528.3
1378.7,529.7
1381.7,531.8
1385.2,534.2
1389.9,536.8
1393.1,538.4
1396.6,540.1
1399.9,541.7
1402.9,543.0
1407.4,544.0
1410.4,544.6
1413.9,546.4
1417.8,548.5
1421.1,550.5
1425.0,553.6
1428.4,556.3
1431.5,559.0
1434.8,562.1
1437.8,564.9
1441.5,568.3
1444.5,571.2
1447.8,574.3
1451.3,576.0
1454.9,577.1
1458.2,578.0
1462.1,578.0
1465.2,578.0
1468.2,578.0
1471.4,578.0
1477.6,576.1
1481.2,574.1
1486.9,571.1
1490.0,569.5
1493.4,567.9
1496.6,566.5
1500.4,564.7
1503.4,563.4
1506.5,560.7
1509.7,556.7
1512.9,552.8
1516.5,548.3
1519.7,544.5
1522.7,541.1
1526.0,537.3
1529.2,535.7
1533.0,535.1
1536.3,534.5
1541.8,533.5
1545.6,532.6
1549.7,531.7
1552.8,531.0
1557.2,529.8
1561.6,528.4
1565.8,527.1
1569.0,526.0
1572.1,529.3
1575.3,529.7
1578.3,530.2
1582.0,530.8
1585.6,531.4
1588.6,531.8
1592.1,533.0
1595.1,534.1
1598.7,535.4
1602.3,536.8
1606.5,538.3
1610.1,539.6
1613.5,540.3
1616.9,541.0
1620.3,541.7
1623.5,542.4
1626.5,543.0
1629.8,543.7
1632.8,544.3
1636.7,545.2
1639.8,546.0
1644.5,547.1
1648.1,547.9
1651.3,548.6
1655.9,550.2
1659.1,551.5
1662.2,552.8
1666.3,554.4
1670.2,555.9
1673.5,557.3
1677.2,558.7
1680.6,560.0
1683.8,561.1
1686.9,562.3
1690.4,563.6
1694.2,565.0
1697.6,566.1
1701.1,567.1
1704.8,568.2
1708.6,569.2
1713.7,570.7
1717.4,571.8
1723.1,573.5
1727.3,574.7
1731.1,575.9
1734.8,577.0
1739.8,578.1
1742.9,578.7
1746.8,579.5
1750.7,580.3
1754.6,582.1
1758.7,580.5
1761.9,579.3
1765.2,578.1
1769.0,576.5
1773.2,576.9
1777.1,578.0
1780.4,578.9
1784.8,580.1
1788.4,581.1
1791.6,582.0
1795.0,583.2
1798.1,584.2
1801.5,585.3
1804.7,586.4
1807.8,587.5
1810.9,588.7
1813.9,589.9
1817.1,591.2
1820.6,592.6
1823.8,593.8
1827.3,595.1
1830.5,596.2
1834.6,597.6
1837.7,598.6
1841.6,599.0
1844.7,598.8
1848.1,598.6
1851.2,598.4
1855.2,598.7
1858.8,599.5
1862.1,600.3
1865.4,601.0
1868.4,601.7
1871.6,602.4
1874.6,603.0
1878.0,603.8
1881.3,604.8
1884.5,605.9
1887.8,607.0
1891.6,608.3
1894.7,609.4
1898.0,610.9
1901.3,612.5
1904.8,614.2
1908.0,615.7
1911.1,617.2
1914.6,619.2
1917.6,620.8
1921.0,622.8
1926.3,625.7
1930.1,627.9
1933.9,630.1
1937.2,632.0
1940.2,633.8
1943.6,635.7
1947.0,637.6
1950.6,639.6
1954.0,641.5
1957.9,643.6
1961.1,645.4
1964.6,647.3
1967.8,650.4
1971.0,651.4
1974.4,651.7
1977.5,653.9
1980.5,656.2
1983.7,658.4
1986.9,660.8
1990.3,664.9
1993.4,665.3
1996.5,667.6
1999.6,669.7
2003.0,671.9
2006.1,674.1
2009.7,674.5
2013.0,675.4
2016.5,673.0
2019.9,672.1
2023.6,671.3
2026.9,670.5
2030.1,672.9
2033.3,674.5
2036.7,672.7
2040.1,672.0
2043.8,674.5
2047.0,676.8
2050.6,679.2
2054.1,681.8
2057.3,684.0
2060.5,686.4
2063.7,689.7
2067.0,693.1
2070.0,696.4
2073.1,699.6
2076.6,702.8
2080.6,706.4
2083.7,709.2
2087.0,710.8
2090.8,711.8
2094.2,712.8
2097.5,713.7
2100.8,716.3
2104.1,718.8
2107.3,721.2
2111.6,724.2
2114.7,725.2
2119.2,726.7
2123.5,728.1
2127.5,729.1
2131.9,729.1
2136.3,727.8
2140.6,726.0
2146.0,723.9
2149.2,721.1
2152.4,718.1
2155.7,715.1
2161.0,712.5
2164.9,711.2
2169.5,718.7
2172.6,726.3
2176.8,733.8
2181.9,734.4
